annee,matiere,territoire,quantite_generee_donnees_agglo,quantite_collectee_donnees_agglo,taux_recuperation_donnees_agglo,ratio_recuperation_donnees_agglo,quantite_generee_donnees_CMM,quantite_collectee_donnees_CMM,taux_recuperation_donnees_CMM,ratio_recuperation_donnees_CMM
2012,"Résidus de construction, rénovation, démolition et encombrants",Montréal-Ouest,368,219,60%,41,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Mont-Royal,1809,1178,65%,59,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Outremont,3115,1528,49%,61,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Pierrefonds-Roxboro,4025,2264,56%,32,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Plateau-Mont-Royal (Le),6947,3866,56%,37,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Pointe-Claire,2402,1461,61%,46,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Rivière-des-Prairies–Pointe-aux-Trembles,21868,13308,61%,120,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Rosemont–La Petite-Patrie,26286,16018,61%,116,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Sainte-Anne-de-Bellevue,472,236,50%,44,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Saint-Laurent,7080,4047,57%,42,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Saint-Léonard,5219,2945,56%,39,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Senneville,53,32,60%,32,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Sud-Ouest (Le),26967,14812,55%,199,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Verdun,4909,2906,59%,42,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Ville-Marie,9412,4625,49%,54,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Villeray–Saint-Michel–Parc-Extension,29566,17473,59%,121,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants",Westmount,1873,1210,65%,58,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Agglomération de Montréal,5763,3360,58%,2,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Ville de Montréal,5012,2905,58%,2,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Ahuntsic-Cartierville,420,259,62%,2,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Anjou,102,48,47%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Baie-d'Urfé,17,11,66%,3,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Beaconsfield,79,49,62%,2,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Côte-des-Neiges–Notre-Dame-de-Grâce,482,291,60%,2,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Côte-Saint-Luc,81,46,56%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Dollard-Des Ormeaux,159,96,60%,2,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Dorval,67,44,66%,2,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Hampstead,19,9,51%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,L'Île-Bizard–Sainte-Geneviève,59,31,53%,2,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Kirkland,75,48,65%,2,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Lachine,112,48,43%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,LaSalle,282,191,68%,2,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Mercier–Hochelaga-Maisonneuve,320,151,47%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Montréal-Est,10,4,38%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Montréal-Nord,210,89,43%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Montréal-Ouest,16,9,55%,2,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Mont-Royal,54,29,54%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Outremont,54,27,50%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Pierrefonds-Roxboro,187,99,53%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Plateau-Mont-Royal (Le),254,110,43%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Pointe-Claire,100,65,65%,2,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Rivière-des-Prairies–Pointe-aux-Trembles,418,285,68%,3,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Rosemont–La Petite-Patrie,539,378,70%,3,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Sainte-Anne-de-Bellevue,16,9,55%,2,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Saint-Laurent,218,105,48%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Saint-Léonard,191,83,44%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Senneville,2,1,47%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Sud-Ouest (Le),318,226,71%,3,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Verdun,146,75,51%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Ville-Marie,202,93,46%,1,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Villeray–Saint-Michel–Parc-Extension,499,315,63%,2,NA,NA,NA,NA
2012,Résidus domestiques dangereux,Westmount,57,35,61%,2,NA,NA,NA,NA
2012,Textiles,Agglomération de Montréal,NA,542,NA,0,NA,NA,NA,NA
2012,Textiles,Ville de Montréal,NA,286,NA,0,NA,NA,NA,NA
2012,Textiles,Ahuntsic-Cartierville,NA,8,NA,0,NA,NA,NA,NA
2012,Textiles,Anjou,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Baie-d'Urfé,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Beaconsfield,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Côte-des-Neiges–Notre-Dame-de-Grâce,NA,6,NA,0,NA,NA,NA,NA
2012,Textiles,Côte-Saint-Luc,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Dollard-Des Ormeaux,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Dorval,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Hampstead,NA,6,NA,1,NA,NA,NA,NA
2012,Textiles,L'Île-Bizard–Sainte-Geneviève,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Kirkland,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Lachine,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,LaSalle,NA,4,NA,0,NA,NA,NA,NA
2012,Textiles,Mercier–Hochelaga-Maisonneuve,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Montréal-Est,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Montréal-Nord,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Montréal-Ouest,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Mont-Royal,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Outremont,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Pierrefonds-Roxboro,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Plateau-Mont-Royal (Le),NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Pointe-Claire,NA,225,NA,7,NA,NA,NA,NA
2012,Textiles,Rivière-des-Prairies–Pointe-aux-Trembles,NA,3,NA,0,NA,NA,NA,NA
2012,Textiles,Rosemont–La Petite-Patrie,NA,15,NA,0,NA,NA,NA,NA
2012,Textiles,Sainte-Anne-de-Bellevue,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Saint-Laurent,NA,1,NA,0,NA,NA,NA,NA
2012,Textiles,Saint-Léonard,NA,243,NA,3,NA,NA,NA,NA
2012,Textiles,Senneville,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Sud-Ouest (Le),NA,1,NA,0,NA,NA,NA,NA
2012,Textiles,Verdun,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Ville-Marie,NA,0,NA,0,NA,NA,NA,NA
2012,Textiles,Villeray–Saint-Michel–Parc-Extension,NA,6,NA,0,NA,NA,NA,NA
2012,Textiles,Westmount,NA,25,NA,1,NA,NA,NA,NA
2012,Autres (produits électroniques),Agglomération de Montréal,NA,1465,NA,1,NA,NA,NA,NA
2012,Autres (produits électroniques),Ville de Montréal,NA,1242,NA,1,NA,NA,NA,NA
2012,Autres (produits électroniques),Ahuntsic-Cartierville,NA,126,NA,1,NA,NA,NA,NA
2012,Autres (produits électroniques),Anjou,NA,2,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Baie-d'Urfé,NA,0,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Beaconsfield,NA,20,NA,1,NA,NA,NA,NA
2012,Autres (produits électroniques),Côte-des-Neiges–Notre-Dame-de-Grâce,NA,272,NA,2,NA,NA,NA,NA
2012,Autres (produits électroniques),Côte-Saint-Luc,NA,36,NA,1,NA,NA,NA,NA
2012,Autres (produits électroniques),Dollard-Des Ormeaux,NA,116,NA,2,NA,NA,NA,NA
2012,Autres (produits électroniques),Dorval,NA,8,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Hampstead,NA,1,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),L'Île-Bizard–Sainte-Geneviève,NA,0,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Kirkland,NA,15,NA,1,NA,NA,NA,NA
2012,Autres (produits électroniques),Lachine,NA,2,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),LaSalle,NA,100,NA,1,NA,NA,NA,NA
2012,Autres (produits électroniques),Mercier–Hochelaga-Maisonneuve,NA,116,NA,1,NA,NA,NA,NA
2012,Autres (produits électroniques),Montréal-Est,NA,0,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Montréal-Nord,NA,0,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Montréal-Ouest,NA,0,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Mont-Royal,NA,0,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Outremont,NA,3,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Pierrefonds-Roxboro,NA,0,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Plateau-Mont-Royal (Le),NA,10,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Pointe-Claire,NA,0,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Rivière-des-Prairies–Pointe-aux-Trembles,NA,147,NA,1,NA,NA,NA,NA
2012,Autres (produits électroniques),Rosemont–La Petite-Patrie,NA,147,NA,1,NA,NA,NA,NA
2012,Autres (produits électroniques),Sainte-Anne-de-Bellevue,NA,7,NA,1,NA,NA,NA,NA
2012,Autres (produits électroniques),Saint-Laurent,NA,13,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Saint-Léonard,NA,3,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Senneville,NA,0,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Sud-Ouest (Le),NA,163,NA,2,NA,NA,NA,NA
2012,Autres (produits électroniques),Verdun,NA,33,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Ville-Marie,NA,0,NA,0,NA,NA,NA,NA
2012,Autres (produits électroniques),Villeray–Saint-Michel–Parc-Extension,NA,107,NA,1,NA,NA,NA,NA
2012,Autres (produits électroniques),Westmount,NA,19,NA,1,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Agglomération de Montréal,NA,558948,NA,288,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Ville de Montréal,NA,489986,NA,288,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Ahuntsic-Cartierville,NA,37512,NA,284,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Anjou,NA,12603,NA,292,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Baie-d'Urfé,NA,1330,NA,343,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Beaconsfield,NA,7084,NA,353,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Côte-des-Neiges–Notre-Dame-de-Grâce,NA,44459,NA,260,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Côte-Saint-Luc,NA,8271,NA,250,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Dollard-Des Ormeaux,NA,14604,NA,291,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Dorval,NA,5272,NA,277,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Hampstead,NA,2110,NA,286,NA,NA,NA,NA
2012,Ordures ménagères éliminées,L'Île-Bizard–Sainte-Geneviève,NA,6355,NA,341,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Kirkland,NA,6186,NA,295,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Lachine,NA,14663,NA,331,NA,NA,NA,NA
2012,Ordures ménagères éliminées,LaSalle,NA,20992,NA,269,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Mercier–Hochelaga-Maisonneuve,NA,39270,NA,288,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Montréal-Est,NA,1437,NA,366,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Montréal-Nord,NA,28043,NA,330,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Montréal-Ouest,NA,1737,NA,326,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Mont-Royal,NA,5845,NA,293,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Outremont,NA,6331,NA,255,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Pierrefonds-Roxboro,NA,20547,NA,294,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Plateau-Mont-Royal (Le),NA,33500,NA,324,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Pointe-Claire,NA,8089,NA,257,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Rivière-des-Prairies–Pointe-aux-Trembles,NA,30906,NA,280,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Rosemont–La Petite-Patrie,NA,37336,NA,269,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Sainte-Anne-de-Bellevue,NA,1644,NA,307,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Saint-Laurent,NA,26228,NA,275,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Saint-Léonard,NA,25065,NA,328,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Senneville,NA,251,NA,253,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Sud-Ouest (Le),NA,21254,NA,286,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Verdun,NA,16518,NA,236,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Ville-Marie,NA,25566,NA,301,NA,NA,NA,NA
2012,Ordures ménagères éliminées,Villeray–Saint-Michel–Parc-Extension,NA,42836,NA,296,NA,NA,NA,NA
