OBJECTID,BIOMASS_GRID_ID,MNCPL_SOLID_WASTE_TOTAL_VOL,MNCPL_SOLID_WASTE_ORGANIC_VOL,MNCPL_SOLID_WASTE_PAPER_VOL
363,46843,3.533138696,1.413255479,0.918616061
364,46853,365.5767208,146.2306883,95.0499474
365,46860,351.7839819,140.7135928,91.4638353
366,46429,444.703604,177.8814416,115.622937
367,46435,964.7035839,385.8814335,250.8229318
368,46032,332.506068,133.0024272,86.45157767
369,46042,936.4697986,374.5879195,243.4821476
370,45226,285.1972156,114.0788862,74.15127606
371,45227,388.0104937,155.2041975,100.8827284
372,44820,1.266592911,0.506637164,0.329314157
373,44418,560.8237858,224.3295143,145.8141843
374,44422,467.1975608,186.8790243,121.4713658
375,43597,221.5743308,88.62973232,57.60932601
376,43598,5.507561758,2.203024703,1.431966057
377,43188,3428.005965,1371.202386,891.2815508
378,43189,742.5670825,297.026833,193.0674415
379,43198,295.2732274,118.1092909,76.77103911
380,43199,81.37487102,32.54994841,21.15746647
381,42769,1565.388174,626.1552697,407.0009253
382,42771,6744.236145,2697.694458,1753.501398
383,42355,1944.06255,777.62502,505.456263
384,41932,350.3791437,140.1516575,91.09857737
385,41933,31362.29054,12544.91622,8154.195542
386,41934,11952.18722,4780.874887,3107.568677
387,41936,263.3269774,105.330791,68.46501412
388,41515,4409.444732,1763.777893,1146.45563
389,41516,67064.88251,26825.95301,17436.86945
390,41517,22638.67044,9055.468175,5886.054314
391,41518,2443.721545,977.488618,635.3676017
392,41519,1277.163164,510.8652656,332.0624226
393,41521,4330.7739,1732.30956,1126.001214
394,41100,19546.00566,7818.402265,5081.961472
395,41101,66165.90215,26466.36086,17203.13456
396,41102,50014.94342,20005.97737,13003.88529
397,41103,3167.014303,1266.805721,823.4237188
398,40683,24396.48567,9758.594269,6343.086275
399,40684,65328.38212,26131.35285,16985.37935
400,40685,39470.15925,15788.0637,10262.2414
401,40686,934.1442965,373.6577186,242.8775171
402,40270,7756.051978,3102.420791,2016.573514
403,40271,158.9377275,63.57509102,41.32380916
404,40272,4950.365988,1980.146395,1287.095157
405,40273,12060.39565,4824.158261,3135.70287
406,40276,378.6948425,151.477937,98.46065906
407,40282,1277.949069,511.1796275,332.2667579
408,40283,509.6961221,203.8784488,132.5209917
409,39854,78.20766171,31.28306468,20.33399204
410,39855,3884.103688,1553.641475,1009.866959
411,39861,917.5447072,367.0178829,238.5616239
412,39864,8331.151385,3332.460554,2166.09936
413,39865,164.0542388,65.62169553,42.6541021
414,39873,516.9805519,206.7922207,134.4149435
415,39445,1271.919416,508.7677665,330.6990482
416,39446,1008.535042,403.414017,262.219111
417,39456,595.3360987,238.1344395,154.7873857
418,39457,335.7470049,134.2988019,87.29422127
419,39045,155.1425557,62.05702229,40.33706449
420,38636,847.1125899,338.845036,220.2492734
421,49598,43.84058433,17.53623373,11.39855193
422,49599,781.1505478,312.4602191,203.0991424
423,71904,5057.002968,2022.801187,1314.820772
424,72195,2806.742886,1122.697155,729.7531504
425,89631,1100.378661,440.1514644,286.0984519
426,100421,227.8269648,91.13078592,59.23501085
427,62263,939.5076702,375.8030681,244.2719942
428,65579,2648.025431,1059.210172,688.486612
429,65807,4126.160278,1650.464111,1072.801672
430,65808,99.94039052,39.97615621,25.98450154
431,3943,694.2409171,277.6963669,180.5026385
432,100880,435.4819829,174.1927932,113.2253156
433,100224,80.39858443,32.15943377,20.90363195
434,100301,126.8946427,50.75785709,32.99260711
435,97706,0.632469614,0.252987846,0.1644421
436,97707,456.8336671,182.7334669,118.7767535
437,98026,626.2949097,250.5179639,162.8366765
438,67667,405.2810834,162.1124334,105.3730817
439,50385,610.308275,244.12331,158.6801515
440,48849,752.8628962,301.1451585,195.744353
441,48044,22.99354858,9.197419434,5.978322632
442,48049,484.7091777,193.8836711,126.0243862
443,48054,7261.816008,2904.726403,1888.072162
444,47662,1450.888743,580.355497,377.2310731
445,47663,15073.00096,6029.200383,3918.980249
446,47265,179.6657013,71.86628053,46.71308234
447,44842,3775.789409,1510.315763,981.7052462
448,44432,790.9035654,316.3614262,205.634927
449,44022,316.793065,126.717226,82.36619691
450,42389,137.3901146,54.95604583,35.72142979
451,42390,68.67380791,27.46952316,17.85519006
452,41967,171.7793535,68.71174139,44.6626319
453,41968,743.384886,297.3539544,193.2800704
454,39879,864.8662208,345.9464883,224.8652174
455,51474,755.9600267,302.3840107,196.5496069
456,51475,33.46275667,13.38510267,8.700316734
457,48482,1979.212918,791.6851673,514.5953587
458,48483,9847.328525,3938.93141,2560.305417
459,48074,1.28631915,0.51452766,0.334442979
460,48075,5818.966791,2327.586716,1512.931366
461,47705,593.0347537,237.2139015,154.189036
462,46911,585.4554561,234.1821824,152.2184186
463,46912,13.27960653,5.311842611,3.452697697
464,43237,634.7181492,253.8872597,165.0267188
465,42398,875.6772398,350.2708959,227.6760823
466,54319,206.8918766,82.75675062,53.7918879
467,54034,3942.781058,1577.112423,1025.123075
468,54035,95.12705017,38.05082007,24.73303304
469,54040,381.0653264,152.4261306,99.07698486
470,54043,133.1232103,53.24928412,34.61203468
471,52508,542.8885215,217.1554086,141.1510156
472,52171,3814.955124,1525.98205,991.8883323
473,51834,0.055805949,0.02232238,0.014509547
474,50798,958.966882,383.5867528,249.3313893
475,48884,16192.07195,6476.82878,4209.938707
476,48885,9596.145314,3838.458126,2494.997782
477,48886,1372.636541,549.0546162,356.8855006
478,48489,39042.53361,15617.01344,10151.05874
479,48490,10508.19513,4203.278052,2732.130734
480,48491,560.8050701,224.322028,145.8093182
